timestamp,position,x_pos,y_pos,fx,fy,fz,tx,ty,tz,mag0_x,mag0_y,mag0_z,mag1_x,mag1_y,mag1_z,mag2_x,mag2_y,mag2_z,mag3_x,mag3_y,mag3_z,mag4_x,mag4_y,mag4_z
1763686074.6087196,9,3,3,0.03808443384249473,-0.10151667801560585,-0.25870603538405224,-0.002080424357103546,0.0017880287043972342,0.0002136871417556684,-9.119970703125091,-62.39999999999998,5.420800781249909,-0.9599975585937273,-29.76000061035154,-30.201611328125182,29.27993164062491,5.280053710937409,85.95849609375,-8.639990234375091,52.79995117187491,1.548852539062409,-48.48000488281252,35.039990234374955,-13.939208984375
1763686074.8236752,9,3,3,0.07249472621222303,-0.05205054333588835,-0.35918475962403396,-0.001708510300984488,0.001480809444580087,-0.00013791151427815815,-4.320043945312591,-64.79996337890623,9.292871093749909,3.8400207519531477,-29.76000061035154,-22.457714843750182,29.27993164062491,7.679956054687409,97.574462890625,-11.040136718750091,52.79995117187491,1.548852539062409,-48.48000488281252,37.440014648437455,-6.195068359375
1763686074.9204412,9,3,3,0.03930888740391991,-0.06533862210387423,-0.37718706585423095,-0.002173521854336602,0.002509807052284032,-0.00022297948161729926,-4.320043945312591,-67.19998779296873,13.164941406249909,1.4399963378906477,-34.56000366210935,-30.201611328125182,26.87990722656241,10.079980468749909,109.1904296875,-8.639990234375091,50.40004882812491,1.548852539062409,-50.8799987792969,39.840039062499955,-10.067138671875
1763686075.025202,9,3,3,0.027770200385972575,-0.059707962121649125,-0.3238022325452268,-0.0014386138810811252,0.0026238034152703243,-4.4739819038996475e-05,-4.320043945312591,-71.99997558593748,5.420800781249909,3.8400207519531477,-34.56000366210935,-26.329541015625182,29.27993164062491,7.679956054687409,101.446533203125,-11.040136718750091,52.79995117187491,5.420800781249909,-50.8799987792969,35.039990234374955,-6.195068359375
1763686075.133632,9,3,3,0.06149498054956436,-0.005583587648829415,-0.22003913073851214,-0.0006149405518117974,0.0012248715114675304,-8.750723584436304e-05,-1.920019531250091,-67.19998779296873,9.292871093749909,3.8400207519531477,-32.16000976562498,-30.201611328125182,29.27993164062491,10.079980468749909,105.318359375,-6.240087890625091,50.40004882812491,1.548852539062409,-50.8799987792969,35.039990234374955,-10.067138671875
1763686075.2271144,9,3,3,0.07998470976629077,-0.006564407441252348,-0.2894768146586586,-0.0009776993543443768,0.0012393292574031105,-0.00011390847243861809,0.48000488281240905,-69.60001220703123,5.420800781249909,1.4399963378906477,-27.360006713867165,-30.201611328125182,34.07998046874991,10.079980468749909,101.446533203125,-8.639990234375091,50.40004882812491,1.548852539062409,-55.67998657226565,39.840039062499955,-10.067138671875
1763686075.323805,9,3,3,0.03595950327568949,-0.022900365290236018,-0.3557768214080599,-0.0009709232832185001,0.0020794363692107293,9.884619671592375e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1763686075.4311821,9,3,3,0.0704954427645972,-0.039740553038158724,-0.33963680640562083,-0.0010929917509484345,0.0010386178178412452,-5.1225478591683873e-05,-6.720068359375091,-64.79996337890623,1.548730468749909,-0.9599975585937273,-32.16000976562498,-34.07368164062518,29.27993164062491,10.079980468749909,97.574462890625,-11.040136718750091,50.40004882812491,1.548852539062409,-50.8799987792969,35.039990234374955,-6.195068359375
1763686075.5259016,9,3,3,0.06891589216695633,-0.06934112835136248,-0.23791966169873743,-0.0009733994464497757,0.001075047820316196,-0.0002462957070869709,0.48000488281240905,-67.19998779296873,5.420800781249909,1.4399963378906477,-34.56000366210935,-26.329541015625182,31.67995605468741,10.079980468749909,105.318359375,-11.040136718750091,50.40004882812491,5.420800781249909,-53.27999267578127,37.440014648437455,-6.195068359375
1763686075.8059118,9,3,3,0.05838890031602766,0.013884609454680803,-0.2332981629522886,0.00019544173785176477,0.0014546438854020018,-0.0006376191139025133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
